Item, Storage, Monster(s), Item Type, Ingredient Type, Crafting Value, Use, Effect, Cooking Effect, Find Checks, Find DC, Location
Poison vial? (found in owlbear nest)(DM only: Owlbear Extract),vial,Owlbear,Consumable (Rare),"Potions",100 GP,Drink,"The potion is purple and has a label with a skull on it. Presumably it's poison. (DM Eyes only: When drinking this potion, you gain the effects of the Polymorph Spell (no Concentration is needed) and turn into an Owlbear for 6 hours.)","When used for cooking, you can add a special effect for food up to 4 people. You take 1d6 Poison damage. (DM Eyes only: When eaten, you can only make animal noises for 1 hour.)","Survival, Nature, Arcana","20(x1)", "Moonsong Lake"
Owlbear Pellet,pouch,Owlbear,Consumable (Common),"Potions",13 GP,Crush,"When you crack the large pellet open, you can see a small spectral trail leave it. You can only imagine whose soul it was. If you catch it on time you can store it in a bottle or vial.",-,"Survival, Nature","13(x1),15(x2),17(x3)","Moonsong Lake"
Bottled Soul,vial,-,Consumable (Common),"Potions, Scrolls, Spells, Rods, Wands, Staffs, Rings, Wondrous Items",20 GP,Absorb,"You can absorb the trapped souls to gain a small boost in spellcasting, gaining +1 to spell attack rolls or spell save DCs for your next spell.",-,-,-,-
Owlbear Pelt,bag,Owlbear,Consumable (Common),"Armor (Hide)",13 GP,-,"Owlbear pelt is extremely tough, perfect for hide armor",-,"Survival, Nature","15(x1)", "Moonsong Lake"
Owlbear Meat,bag,Owlbear,Consumable (Common),-,-,-,-,"You can cook this as mundane food for 8 people. It tastes kinda like chicken, but kinda not like chicken...","Survival, Nature","15(x1)", "Moonsong Lake"
Bulette Scale,bag,Bulette (Land Shark),Consumable (Uncommon),"Armor (Scale)",50 GP,Armor attachment,"This giant scale of a Bulette will add a +1 bonus to your Armor Class when attached to armor or shields, but it will fall apart after the character suffers damage 5 separate times.",-,"Survival, Nature","15(x1),18(x2),23(x3)", "Moonsong Lake"
Bulette Claw,bag,Bulette (Land Shark),Consumable (Uncommon),"Weapons",25 GP,Pick,"The bulette claw, when tied to a sturdy stick, can make for a rudimentary but powerful pick that can break rock. You can use it 20 times to crush rock or dirt in a 10 ft cube area, creating a traversable path in the earth or an area of difficult terrain. Alternatively, so long as it has at least 10 uses left, you can use it as 25 GP worth in materials towards the 200 GP necessary to craft a Bulette Pick (Uncommon), which has unlimited uses of the same effect.",-,"Survival, Perception, Investigation","15(x2),18(x3),23(x4)", "Moonsong Lake"
Bulette Pick (Uncommon),-,-,Weapon (Uncommon),-,-,-,"This weapon deals 1d10 Piercing damage.  You can also use this weapon as a focus for your spells. As a Magic Action, you can use it to crush rock or dirt in a 10 ft cube area, creating a traversable path as a tunnel, or an area of difficult terrain.",-,-,-,-
Snake Skin,bag,Flying Snake,Ingredient (Common),"Armor (Leather), Wondrous Items (Leather)",13 GP,-,"Snake skin is great for lasting leather crafts.",-,"Survival, Nature","15(x1)", "Moonsong Lake"
Snake Meat,bag,Flying Snake,Ingredient (Common),-,-,-,-,"You can prepare food for 1 person with this.","Survival, Nature","15(x1)", "Moonsong Lake"
Snake Venom,vial,Flying Snake,Consumable (Common),-,-,"Weapon Enchant","You can use the venom of the snake directly, or refine it with the Poisoner Kit or the Alchemist kit to generate 3 vials with the same effect. You can coat your weapon or 3 pieces of ammunition with the venom, which will last for 1 minute or 3 hits, whichever comes first. On a hit, add +1d6 Poison damage.","If you have proficiency with the Poisoner Kit or the Alchemist Kit, you can make 3 Antitoxins from the venom in 1 hour.","Survival, Nature, Poisoner's Kit, Alchemist Kit","15(x1),20(x2)","Moonsong Lake"
Antitoxin,vial,-,Consumable (Common),-,-,"Drink, (DM Eyes only: Weapon Enchant)","As a Bonus Action, you can drink a vial of Antitoxin to gain Advantage on saving throws to avoid or end the Poisoned condition for 1 hour. (DM Eyes only:The players might have the idea to coat a weapon with the antitoxin in fights against the Hartsblighted. In such a case, they can take a Bonus Action to apply the antitoxin to a weapon or 3 ammunition, and it lasts 1 minute or 1 hit, whichever comes first. When hit, creatures with the Blight Dependent trait are affected as stated.)",-,-,-,-
Troll Skin Patch,pouch,Troll,Consumable (Uncommon),"Potions (Healing, Vitality, Longevity), Ring of Regeneration",25 GP,Patch,"The skin of a troll still keeps a faint remnant of its power of regeneration. You can use it in place of 25 GP in crafting Potions of Healing, Potions of Vitality or Potions of Longevity. Alternatively, you can apply it as a wrapping on a wound. When applied to the skin it heals 1 HP every turn for 10 turns.",-,"Survival, Nature, Arcana","13(x1),15(x2),20(x4)", "Moonsong Lake"
Troll Blood,vial,Troll,Consumable (Uncommon),"Potions (Healing, Vitality, Longevity), Ring of Regeneration",50 GP,Drink,"The blood of a troll still keeps some of its power of regeneration. You can use it in place of 50 GP in crafting Potions of Healing, Potions of Vitality or Potions of Longevity. Alternatively, you can drink it directly. When drank directly you regain 10 Hit Points, and for the next 5 turns at the start of each of your turns you regain 1 Hit Point.","When used in cooking you can make food with special effects for 2 people. When eaten, you regain 2 Hit Points for 5 turns at the start of each of your turns.","Survival, Nature, Medicine, Arcana","15(x1),20(x3),23(x5)", "Moonsong Lake"
Troll Heart,bottle,Troll,Consumable (Rare),"Troll Amulet, Ring of Regeneration","1,000 GP",Absorb,"The heart of a troll is filled with the power of regeneration. You can use it in place of 1,000 GP towards the 2,000 GP necessary to craft a Troll Amulet (Rare) or a Ring of Regeneration (Rare). Alternatively, you can consume its energy to recover 20 Hit Points at the start of your turns for 10 minutes, as long as you haven't taken acid or fire damage since the end of your last turn, and so long as you start your turn with at least 1 Hit Point.","You can use this in cooking to prepare food with a special effect for up to 4 people. When eaten, you gain slight regeneration for 1 minute, during which you regain 3 Hit Points at the start of your turn so long as you haven't taken acid or fire damage since the end of your last turn, and so long as you start your turn with at least 1 Hit Point.","Survival, Nature, Medicine, Arcana","23(x1)", "Moonsong Lake"
Troll Amulet,pouch,-,Wondrous Item (Rare),-,-,-,"This amulet contains the crystallised form of a troll heart preserved in tar. While wearing and attuned to this amulet, you may spend an action to activate it. For the next minute, you regain 10 hit points at the start of your turn so long as you haven’t taken acid or fire damage since the end of your last turn and so long as you start your turn with at least 1 hit point. Once you have used this ability once, you cannot use it again until the next dawn.",-,-,-,-
Purple Worm Blood,vial,Purple Worm,Consumable (Rare),"Potions",250 GP, Smear, "Purple Worms move around by sensing the vibrations in the ground. You can use some of its energy by smearing its blood across your temples and forehead. For 1 hour, you gain Tremorsense for 60 ft.","You can add this in cooking a meal with a special effect for 4 people. When eaten, you have Tremorsense for 30 ft for 1 hour.","Survival, Nature, Arcana, Alchemist Kit","13(x1),15(x3),20(x6)","Moonsong Lake"
Purple Worm Tooth,bag,Purple Worm,Consumable (Very Rare),"Weapons","5000 GP",Pick,"Purple worms corrode the dirt with acid and crush the rock with their teeth to burrow, making the teeth an incredibly powerful material to make weapons that can crush rock. When tied to a sturdy stick you can make a rudimentary pick. When crafted this way, it takes about 10 minutes. You can use it 30 times to destroy rock or dirt in a 20 ft cube, making a traversable path, or creating difficult terrain. Alternatively, so long as it has more than 10 uses left, you can use the tooth as 5000 GP in material towards the 20,000 GP necessary to make a Purple Worm Excavator (Very Rare), which has unlimited uses of the same effect, and a limited use of charges to create an Earthquake effect.",-,"Survival, Perception, Investigation","15(x1),17(x2),20(x3),25(x4)", "Moonsong Lake"
Purple Worm Excavator Pick (Very Rare),-,-,Weapon (Very Rare)(Requires Attunement),-,-,-,"This weapon deals 1d12 Piercing damage and 1d8 Acid damage on a hit. You can also use this weapon as a focus for your spells. As a Magic Action, you can use it to destroy rock or dirt in a 20 ft cube, making a traversable path, or creating difficult terrain. You can also use a Magic Action to create an Earthquake effect in a 40 ft square adjacent to a point you can swing the pick at. The area immediately becomes shaking earth and difficult terrain, and creatures in the area make a DC 20 Dexterity Saving Throw, failing which they take 4d6 Bludgeoning damage and are Prone until the start of their next turn. If that creature is also concentrating, it must succeed on a DC 20 Constitution saving throw or its Concentration is broken. On subsequent turns for 1 minute, the area continues to shake and creatures ending their movement in the area make another DC 20 Dexterity Saving Throw and take 2d6 Bludgeoning damage and become Prone again until the start of their next turn. If that creature is also concentrating, it must succeed on a DC 20 Constitution saving throw or its Concentration is broken. Once you use the Earthquake effect, it can’t be used again until the next dawn.",-,-,-,-
Purple Worm Stomach Acid,vial,Purple Worm,Consumable (Very Rare),"Weapons",2500 GP,"Weapon Enchant, Throw","The acid of a Purple Worm is incredibly strong, destroying most rocks, which allows them to burrow and traverse the earth. When mixed with resin and applied to a weapon, the weapon deals +2d6 Acid damage for 10 minutes. Alternatively, you can throw the unmixed acid in a vial, which will explode in a 20 ft radius. Creatures in the area must make a DC 17 Dexterity Saving Throw. On a failure, they take 10d6 Acid damage, and then 5d6 Acid damage at the start of their next turn. On a successful save they take half of 10d6 Acid damage, and no subsequent damage.",-,"Survival, Nature","15(x1),20(x2)", "Moonsong Lake"
Purple Worm Stinger,bag,Purple Worm,Consumable (Very Rare),"Weapons",2500 GP,Weapon Enchant,"You can use a Bonus Action to apply the poison to a weapon or 3 pieces of ammunition. The poison from the stinger can be applied directly to a weapon or 3 pieces of ammunition 1 time, or you can refine the poison with the Poisoner Kit or the Alchemist Kit for 1 hour to make an extract that allows you to have 3 vials of poison with the same effect instead. When coating a weapon with either the stinger secretions or the extract, your weapon becomes poisonus for 3 hits. On a hit, the target takes he mundane damage normally, and immediately makes a DC 19 Constitution saving throw. On a failure they take 10d6 Poison damage, and have the Poisoned condition for 1 hour. On a failure, they take half as much damage, and have no additional effect.","If you have proficiency with the Poisoner Kit or the Alchemist Kit, you can refine 8 vials of an antidote. When the antidote is injected, you have immunity to the Poisoned condition and resistance to Poison damage for 24 hours.","Survival, Nature, Poisoner Kit, Alchemist Kit","20(x1)", "Moonsong Lake"
Purple Worm Antitoxin,vial,-,Consumable (Very Rare),-,-,"Inject,(DM Eyes only:Weapon Enchant)","When the antidote is injected, you have immunity to the Poisoned condition and resistance to Poison damage for 24 hours. (DM Eyes only: The players might have the idea to coat a weapon with the antitoxin in fights against the Hartsblighted. In such a case, they can take a Bonus Action to apply the antitoxin to a weapon or 10 ammunition, and it lasts 1 hour. When hit, creatures with the Blight Dependent trait are affected as stated.",-,-,-,-
Decaying Staff,-,Keeper of the Blight,Consumable (Rare),"Spells",500 GP,Activate,"The Keeper of Blight is a spirit overtaken by rot. Their magic is still present in their staff. The staff deals 1d8 Bludgeoning damage or 1d10 Bludgeoning damage when wielded as a two-handed weapon, and deals an additional 1d6 Necrotic damage on a hit. You can also use this weapon as a focus for your spells. The staff has 5 charges. You can spend 1 charge to cast the spell Blight. Alternatively, you can spend 1 charge to create Frenzying Spores, with which you target a creature you can see 30 ft from you and they make a DC 16 Wisdom Saving Throw. On a failure, the target takes 3d6 Psychic damage, and they must take a Reaction to attack a creature you decide that is within range of the attack. On a successful save they take half damage and no additional effect. Alternatively, you can spend 1 charge to create a 60 ft radius field of fungi that lasts for 1 minute. For the duration, creatures in the area (including you) have the Poisoned condition, and the area is Difficult Terrain. Once the charges are all spent, the staff will create a 5 ft wide circle of large fungi, and crumble to dust. The fungi can be harvested for 3 vials of Rotting Spores. Alternatively, so long as the staff has at least 2 charges, you can use it as 500 GP worth in materials towards the 2000 GP necessary to craft a Staff of Decay (Rare).",-,"Survival, Perception, Investigation, Religion, Fated Tarot Reading","17(x1), Auto Success on Fated Tarot: The Hermit (x1)", "The Hartsblight Forest"
